payer,code,avg_rate,max_rate,min_rate,range_rate,percentile_25,median_rate,percentile_75
Cigna Corporation,20610,216.34,216.34,216.34,0.00,216.3400,216.3400,216.3400
Kaiser Foundation Health Plan,20610,222.61,258.00,197.00,61.00,197.0000,197.0000,258.0000
UnitedHealthcare,20610,253.89,321.24,252.70,68.54,252.7000,252.7000,252.7000
Aetna,20611,157.18,485.68,55.80,429.88,55.8000,84.1000,306.4200
Ambetter,20611,104.27,104.27,104.27,0.00,104.2700,104.2700,104.2700
Cigna Corporation,20611,327.57,327.57,327.57,0.00,327.5700,327.5700,327.5700
Kaiser Foundation Health Plan,20611,342.40,373.00,181.00,192.00,334.0000,334.0000,373.0000
UnitedHealthcare,20611,386.50,386.82,368.57,18.25,386.8200,386.8200,386.8200
Aetna,27096,253.60,846.86,61.83,785.03,61.8300,168.5700,427.9600
Cigna Corporation,27096,583.84,583.84,583.84,0.00,583.8400,583.8400,583.8400
Kaiser Foundation Health Plan,27096,690.04,813.00,599.00,214.00,599.0000,599.0000,813.0000
UnitedHealthcare,27096,676.46,788.49,674.48,114.01,674.4800,674.4800,674.4800
Aetna,27130,2637.35,6876.96,64.40,6812.56,1243.3600,1243.3600,5468.5600
Blue Shield of California,27130,5063.65,5607.16,5055.29,551.87,5055.2900,5055.2900,5055.2900
Cigna Corporation,27130,4825.27,4825.27,4825.27,0.00,4825.2700,4825.2700,4825.2700
Kaiser Foundation Health Plan,27130,4198.95,5166.00,3901.00,1265.00,3901.0000,3901.0000,4525.0000
UnitedHealthcare,27130,5483.06,5815.78,5477.18,338.60,5477.1800,5477.1800,5477.1800
Aetna,27447,2693.82,6869.30,64.40,6804.90,1329.3300,1329.3300,5484.3075
Ambetter,27447,2210.29,2210.29,2210.29,0.00,2210.2900,2210.2900,2210.2900
Blue Shield of California,27447,5469.90,6063.65,5460.77,602.88,5460.7700,5460.7700,5460.7700
Cigna Corporation,27447,4823.19,4823.19,4823.19,0.00,4823.1900,4823.1900,4823.1900
Kaiser Foundation Health Plan,27447,4430.23,5271.00,4173.00,1098.00,4173.0000,4173.0000,4711.0000
UnitedHealthcare,27447,5471.08,5471.08,5471.08,0.00,5471.0800,5471.0800,5471.0800
Aetna,29881,1102.72,2769.59,64.40,2705.19,557.0100,557.0100,2216.4450
Blue Shield of California,29881,1955.80,2104.87,1953.51,151.36,1953.5100,1953.5100,1953.5100
Cigna Corporation,29881,1941.45,1941.45,1941.45,0.00,1941.4500,1941.4500,1941.4500
Kaiser Foundation Health Plan,29881,1985.71,2219.00,1280.00,939.00,1889.0000,1889.0000,2219.0000
UnitedHealthcare,29881,2212.79,2605.39,2205.85,399.54,2205.8500,2205.8500,2205.8500
Aetna,31231,274.22,1013.99,64.40,949.59,75.0700,190.2400,323.4000
Ambetter,31231,111.55,111.55,111.55,0.00,111.5500,111.5500,111.5500
Cigna Corporation,31231,770.77,770.77,770.77,0.00,770.7700,770.7700,770.7700
Kaiser Foundation Health Plan,31231,818.61,900.00,758.00,142.00,758.0000,758.0000,900.0000
UnitedHealthcare,31231,807.72,814.94,807.60,7.34,807.6000,807.6000,807.6000
Aetna,31575,199.54,640.64,64.40,576.24,74.7200,113.6900,340.6600
Ambetter,31575,119.53,119.53,119.53,0.00,119.5300,119.5300,119.5300
Cigna Corporation,31575,415.45,415.45,415.45,0.00,415.4500,415.4500,415.4500
Kaiser Foundation Health Plan,31575,463.52,504.00,435.00,69.00,435.0000,435.0000,504.0000
UnitedHealthcare,31575,509.83,510.24,487.03,23.21,510.2400,510.2400,510.2400
Aetna,36415,24.05,80.00,2.67,77.33,2.6700,2.6700,80.0000
Ambetter,36415,13.00,13.00,13.00,0.00,13.0000,13.0000,13.0000
Blue Shield of California,36415,7.57,9.96,7.39,2.57,7.3900,7.3900,7.3900
Cigna Corporation,36415,10.63,10.63,10.63,0.00,10.6300,10.6300,10.6300
Health Net,36415,12.09,13.00,8.98,4.02,12.7400,12.7400,13.0000
Kaiser Foundation Health Plan,36415,15.45,15.45,15.45,0.00,15.4500,15.4500,15.4500
UnitedHealthcare,36415,11.60,12.21,11.59,0.62,11.5900,11.5900,11.5900
Aetna,36416,2.93,2.93,2.93,0.00,2.9300,2.9300,2.9300
Blue Shield of California,36416,5.15,5.15,5.15,0.00,5.1500,5.1500,5.1500
Cigna Corporation,36416,10.63,10.63,10.63,0.00,10.6300,10.6300,10.6300
Kaiser Foundation Health Plan,36416,9.33,16.00,5.00,11.00,5.0000,5.0000,15.0000
UnitedHealthcare,36416,12.03,13.43,12.01,1.42,12.0100,12.0100,12.0100
Aetna,43235,423.92,1466.59,64.40,1402.19,130.2100,272.3500,628.8500
Cigna Corporation,43235,936.74,936.74,936.74,0.00,936.7400,936.7400,936.7400
Kaiser Foundation Health Plan,43235,859.69,1344.00,631.00,713.00,654.4000,964.0000,964.0000
UnitedHealthcare,43235,1169.65,1259.44,1168.07,91.37,1168.0700,1168.0700,1168.0700
Aetna,43239,524.55,1962.50,64.40,1898.10,153.6700,315.4700,709.6500
Ambetter,43239,362.54,723.66,118.19,605.47,118.1900,245.7900,723.6600
Cigna Corporation,43239,1258.63,1258.63,1258.63,0.00,1258.6300,1258.6300,1258.6300
Kaiser Foundation Health Plan,43239,1063.23,1507.00,759.00,748.00,864.2200,1194.0000,1194.0000
UnitedHealthcare,43239,1561.22,1563.04,1458.84,104.20,1563.0400,1563.0400,1563.0400
Aetna,45378,552.71,1716.03,64.40,1651.63,193.2800,359.2700,948.0800
Ambetter,45378,464.83,615.45,314.21,301.24,314.2100,464.8300,615.4500
Cigna Corporation,45378,1145.71,1145.71,1145.71,0.00,1145.7100,1145.7100,1145.7100
Kaiser Foundation Health Plan,45378,1321.57,1497.00,1190.00,307.00,1190.0000,1190.0000,1497.0000
UnitedHealthcare,45378,1371.86,1661.37,1366.74,294.63,1366.7400,1366.7400,1366.7400
Aetna,45380,670.09,2224.99,64.40,2160.59,232.2100,429.7900,1028.7300
Ambetter,45380,554.27,824.45,341.87,482.58,341.8700,353.9100,793.4100
Cigna Corporation,45380,1476.73,1476.73,1476.73,0.00,1476.7300,1476.7300,1476.7300
Kaiser Foundation Health Plan,45380,1316.69,1544.00,935.00,609.00,1021.0000,1544.0000,1544.0000
UnitedHealthcare,45380,1775.84,1987.49,1772.10,215.39,1772.1000,1772.1000,1772.1000
Aetna,45385,752.29,2309.33,64.40,2244.93,275.2700,483.1600,1305.5200
Ambetter,45385,432.30,432.30,432.30,0.00,432.3000,432.3000,432.3000
Blue Shield of California,45385,1497.88,2095.49,1090.29,1005.20,1090.2900,1526.5500,1901.7300
Cigna Corporation,45385,1540.79,1540.79,1540.79,0.00,1540.7900,1540.7900,1540.7900
Kaiser Foundation Health Plan,45385,2013.85,2327.00,1784.00,543.00,1784.0000,1784.0000,2327.0000
UnitedHealthcare,45385,1846.14,2234.30,1839.27,395.03,1839.2700,1839.2700,1839.2700
Aetna,51700,122.66,391.20,45.22,345.98,45.2200,89.3700,157.2400
Cigna Corporation,51700,267.61,267.61,267.61,0.00,267.6100,267.6100,267.6100
Kaiser Foundation Health Plan,51700,186.61,194.00,169.00,25.00,183.0000,183.0000,194.0000
UnitedHealthcare,51700,312.60,371.13,311.57,59.56,311.5700,311.5700,311.5700
Aetna,51701,81.89,230.62,27.87,202.75,27.8700,61.2600,132.5000
Cigna Corporation,51701,172.59,172.59,172.59,0.00,172.5900,172.5900,172.5900
Kaiser Foundation Health Plan,51701,237.28,242.00,231.00,11.00,231.0000,242.0000,242.0000
UnitedHealthcare,51701,184.90,254.38,183.68,70.70,183.6800,183.6800,183.6800
Aetna,51702,100.91,319.13,30.75,288.38,30.7500,79.5600,130.4700
Cigna Corporation,51702,231.07,231.07,231.07,0.00,231.0700,231.0700,231.0700
Kaiser Foundation Health Plan,51702,305.38,317.00,161.00,156.00,306.0000,317.0000,317.0000
UnitedHealthcare,51702,255.49,330.39,254.17,76.22,254.1700,254.1700,254.1700
Aetna,51720,160.04,434.37,64.40,369.97,83.0800,116.4600,223.0500
Cigna Corporation,51720,322.53,322.53,322.53,0.00,322.5300,322.5300,322.5300
Kaiser Foundation Health Plan,51720,509.90,676.00,470.00,206.00,470.0000,470.0000,549.0000
UnitedHealthcare,51720,348.34,483.61,345.95,137.66,345.9500,345.9500,345.9500
Aetna,51728,483.59,1852.80,64.40,1788.40,105.8800,312.8100,537.5300
Cigna Corporation,51728,776.24,1164.36,377.30,787.06,377.3000,787.0600,1164.3600
Kaiser Foundation Health Plan,51728,774.46,844.39,722.02,122.37,722.0200,722.0200,844.3900
UnitedHealthcare,51728,981.73,1475.67,428.12,1047.55,428.1200,1047.5500,1475.6700
Aetna,51741,35.18,73.43,17.06,56.37,27.8200,29.3400,44.8800
Cigna Corporation,51741,38.34,57.51,27.34,30.17,27.3400,30.1700,57.5100
Kaiser Foundation Health Plan,51741,105.00,133.00,84.00,49.00,84.0000,84.0000,133.0000
UnitedHealthcare,51741,40.46,186.38,23.37,163.01,23.3700,35.1100,58.4800
Aetna,51798,29.82,53.84,20.64,33.20,20.6400,20.6400,53.8400
Blue Shield of California,51798,57.44,57.44,57.44,0.00,57.4400,57.4400,57.4400
Cigna Corporation,51798,71.95,71.95,71.95,0.00,71.9500,71.9500,71.9500
Kaiser Foundation Health Plan,51798,65.04,90.00,31.00,59.00,31.0000,90.0000,90.0000
UnitedHealthcare,51798,43.62,85.70,42.88,42.82,42.8800,42.8800,42.8800
Aetna,52000,326.19,1102.50,64.40,1038.10,128.8000,217.1000,411.9100
Ambetter,52000,136.08,136.08,136.08,0.00,136.0800,136.0800,136.0800
Blue Shield of California,52000,599.33,817.49,453.99,363.50,453.9900,612.1350,742.6300
Cigna Corporation,52000,601.88,601.88,601.88,0.00,601.8800,601.8800,601.8800
Kaiser Foundation Health Plan,52000,868.61,1035.00,759.00,276.00,759.0000,759.0000,1035.0000
UnitedHealthcare,52000,878.49,901.49,878.09,23.40,878.0900,878.0900,878.0900
Aetna,55700,387.89,1293.69,64.40,1229.29,131.4300,219.7600,667.2600
Cigna Corporation,55700,905.30,905.30,905.30,0.00,905.3000,905.3000,905.3000
Kaiser Foundation Health Plan,55700,983.79,1117.00,407.00,710.00,938.0000,938.0000,1117.0000
UnitedHealthcare,55700,1029.53,1030.36,982.72,47.64,1030.3600,1030.3600,1030.3600
Aetna,58300,140.65,474.77,46.53,428.24,46.5300,66.0900,265.3400
Ambetter,58300,201.88,201.88,201.88,0.00,201.8800,201.8800,201.8800
Cigna Corporation,58300,258.88,258.88,258.88,0.00,258.8800,258.8800,258.8800
Kaiser Foundation Health Plan,58300,312.14,358.00,280.00,78.00,280.0000,280.0000,358.0000
UnitedHealthcare,58300,376.80,378.13,302.19,75.94,378.1300,378.1300,378.1300
Aetna,59025,66.01,243.86,17.02,226.84,26.6300,43.6500,99.1300
Cigna Corporation,59025,114.88,172.33,68.54,103.79,68.5400,103.7900,172.3300
Kaiser Foundation Health Plan,59025,161.00,201.00,131.00,70.00,131.0000,131.0000,201.0000
UnitedHealthcare,59025,129.46,194.22,75.24,118.98,78.9500,115.2700,194.2200
Aetna,62321,374.16,1359.55,64.40,1295.15,99.9300,230.9900,551.9800
Blue Shield of California,62321,653.36,912.10,394.62,517.48,394.6200,653.3600,912.1000
Cigna Corporation,62321,911.34,911.34,911.34,0.00,911.3400,911.3400,911.3400
Kaiser Foundation Health Plan,62321,532.87,1097.00,402.00,695.00,402.0000,517.3500,544.0000
UnitedHealthcare,62321,1081.69,1082.82,1017.92,64.90,1082.8200,1082.8200,1082.8200
Aetna,62323,362.40,1345.68,64.40,1281.28,91.3400,227.4500,509.7800
Ambetter,62323,170.49,170.49,170.49,0.00,170.4900,170.4900,170.4900
Blue Shield of California,62323,630.62,1033.78,360.68,673.10,360.6800,643.9300,898.1500
Cigna Corporation,62323,897.38,897.38,897.38,0.00,897.3800,897.3800,897.3800
Kaiser Foundation Health Plan,62323,859.76,955.00,794.00,161.00,794.0000,794.0000,955.0000
UnitedHealthcare,62323,1070.57,1071.77,1002.78,68.99,1071.7700,1071.7700,1071.7700
Aetna,64483,353.93,1239.22,64.40,1174.82,90.6700,219.7200,575.0200
Cigna Corporation,64483,798.58,798.58,798.58,0.00,798.5800,798.5800,798.5800
Kaiser Foundation Health Plan,64483,1026.71,1402.00,751.00,651.00,751.0000,751.0000,1402.0000
UnitedHealthcare,64483,987.68,1027.73,986.98,40.75,986.9800,986.9800,986.9800
Aetna,64490,304.53,992.65,64.40,928.25,98.0400,177.7000,543.5900
Cigna Corporation,64490,689.55,689.55,689.55,0.00,689.5500,689.5500,689.5500
Kaiser Foundation Health Plan,64490,536.76,848.00,504.00,344.00,504.0000,504.0000,547.0000
UnitedHealthcare,64490,791.30,831.17,790.60,40.57,790.6000,790.6000,790.6000
Aetna,64493,270.50,906.90,64.40,842.50,82.9600,159.1200,463.5100
Ambetter,64493,156.31,156.31,156.31,0.00,156.3100,156.3100,156.3100
Cigna Corporation,64493,626.85,626.85,626.85,0.00,626.8500,626.8500,626.8500
Kaiser Foundation Health Plan,64493,980.23,1302.00,758.00,544.00,758.0000,758.0000,1302.0000
UnitedHealthcare,64493,722.68,744.25,722.30,21.95,722.3000,722.3000,722.3000
Aetna,64566,163.11,664.84,26.16,638.68,26.1600,119.2000,157.2400
Cigna Corporation,64566,472.31,472.31,472.31,0.00,472.3100,472.3100,472.3100
Kaiser Foundation Health Plan,64566,465.04,504.00,438.00,66.00,438.0000,438.0000,504.0000
UnitedHealthcare,64566,529.99,557.55,529.51,28.04,529.5100,529.5100,529.5100
Aetna,64615,265.01,750.00,64.40,685.60,109.4600,122.9600,604.7000
Ambetter,64615,203.93,203.93,203.93,0.00,203.9300,203.9300,203.9300
Cigna Corporation,64615,503.44,503.44,503.44,0.00,503.4400,503.4400,503.4400
Kaiser Foundation Health Plan,64615,475.47,526.00,401.00,125.00,409.0000,526.0000,526.0000
UnitedHealthcare,64615,596.87,597.34,570.49,26.85,597.3400,597.3400,597.3400
Aetna,64635,660.64,2168.10,64.40,2103.70,205.9100,407.6900,1141.6400
Cigna Corporation,64635,1517.54,1517.54,1517.54,0.00,1517.5400,1517.5400,1517.5400
Kaiser Foundation Health Plan,64635,2051.90,3070.00,1392.00,1678.00,1392.0000,1392.0000,3070.0000
UnitedHealthcare,64635,1729.63,1890.64,1726.79,163.85,1726.7900,1726.7900,1726.7900
Aetna,66821,744.66,1724.08,64.40,1659.68,251.7700,267.5700,1206.8600
Cigna Corporation,66821,1202.53,1202.53,1202.53,0.00,1202.5300,1202.5300,1202.5300
Kaiser Foundation Health Plan,66821,1239.62,1317.00,683.71,633.29,1232.0000,1232.0000,1317.0000
UnitedHealthcare,66821,1373.15,1373.15,1373.15,0.00,1373.1500,1373.1500,1373.1500
Aetna,66982,1591.66,3853.18,64.40,3788.78,861.7300,861.7300,3105.3175
Blue Shield of California,66982,3360.87,3777.43,3354.26,423.17,3354.2600,3354.2600,3354.2600
Cigna Corporation,66982,2875.30,2875.30,2875.30,0.00,2875.3000,2875.3000,2875.3000
Kaiser Foundation Health Plan,66982,2448.54,2895.00,1575.37,1319.63,1888.0000,2895.0000,2895.0000
UnitedHealthcare,66982,3068.88,3068.88,3068.88,0.00,3068.8800,3068.8800,3068.8800
Aetna,66984,575.95,621.09,64.40,556.69,621.0900,621.0900,621.0900
Ambetter,66984,958.60,958.60,958.60,0.00,958.6000,958.6000,958.6000
Blue Shield of California,66984,2529.42,2529.42,2529.42,0.00,2529.4200,2529.4200,2529.4200
Cigna Corporation,66984,2318.20,2318.20,2318.20,0.00,2318.2000,2318.2000,2318.2000
Kaiser Foundation Health Plan,66984,2515.85,2843.00,2008.00,835.00,2008.0000,2843.0000,2843.0000
UnitedHealthcare,66984,2238.92,2238.92,2238.92,0.00,2238.9200,2238.9200,2238.9200
Aetna,67028,209.34,518.71,64.40,454.31,90.5500,109.3900,505.5200
Ambetter,67028,239.67,239.67,239.67,0.00,239.6700,239.6700,239.6700
Cigna Corporation,67028,368.03,368.03,368.03,0.00,368.0300,368.0300,368.0300
Kaiser Foundation Health Plan,67028,450.85,485.00,205.00,280.00,447.0000,447.0000,485.0000
UnitedHealthcare,67028,413.13,413.13,413.13,0.00,413.1300,413.1300,413.1300
Aetna,69209,31.05,74.59,11.46,63.13,11.4600,11.4600,72.0425
Ambetter,69209,28.74,28.74,28.74,0.00,28.7400,28.7400,28.7400
Blue Shield of California,69209,47.58,54.83,47.48,7.35,47.4800,47.4800,47.4800
Cigna Corporation,69209,47.27,47.27,47.27,0.00,47.2700,47.2700,47.2700
Kaiser Foundation Health Plan,69209,72.76,76.00,71.00,5.00,71.0000,71.0000,75.0000
UnitedHealthcare,69209,59.41,59.41,59.41,0.00,59.4100,59.4100,59.4100
Aetna,69210,81.67,243.96,27.07,216.89,27.0700,42.5700,168.4900
Ambetter,69210,27.98,27.98,27.98,0.00,27.9800,27.9800,27.9800
Cigna Corporation,69210,176.58,176.58,176.58,0.00,176.5800,176.5800,176.5800
Kaiser Foundation Health Plan,69210,155.38,179.00,147.00,32.00,147.0000,159.0000,159.0000
UnitedHealthcare,69210,194.55,208.72,194.30,14.42,194.3000,194.3000,194.3000
Aetna,70450,256.95,648.42,36.47,611.95,142.1200,178.5900,414.1600
Ambetter,70450,71.22,71.86,70.58,1.28,70.5800,71.2200,71.8600
Blue Shield of California,70450,1354.53,1354.53,1354.53,0.00,1354.5300,1354.5300,1354.5300
Cigna Corporation,70450,284.50,426.75,153.51,273.24,153.5100,273.2400,426.7500
Kaiser Foundation Health Plan,70450,743.57,753.00,731.00,22.00,731.0000,753.0000,753.0000
UnitedHealthcare,70450,319.27,478.91,173.05,305.86,173.0500,305.8600,478.9100
Aetna,70486,315.31,784.76,49.18,735.58,177.6100,226.8000,548.4200
Blue Shield of California,70486,1354.53,1354.53,1354.53,0.00,1354.5300,1354.5300,1354.5300
Cigna Corporation,70486,342.09,513.15,153.51,359.64,153.5100,359.6300,513.1500
Kaiser Foundation Health Plan,70486,992.33,1038.00,955.00,83.00,965.0000,965.0000,1038.0000
UnitedHealthcare,70486,386.40,579.61,174.52,405.09,174.5200,405.0900,579.6100
Aetna,70491,438.81,1141.50,59.34,1082.16,221.8200,281.1600,760.0200
Ambetter,70491,115.18,115.18,115.18,0.00,115.1800,115.1800,115.1800
Blue Shield of California,70491,1620.41,1620.41,1620.41,0.00,1620.4100,1620.4100,1620.4100
Cigna Corporation,70491,579.58,869.37,249.21,620.16,249.2100,620.1600,869.3700
Kaiser Foundation Health Plan,70491,904.76,1218.00,671.00,547.00,671.0000,671.0000,1218.0000
UnitedHealthcare,70491,567.89,1346.08,281.71,1064.37,281.7100,561.3800,843.0900
Aetna,70496,585.29,1506.92,75.65,1431.27,310.2400,385.8900,1025.6600
Ambetter,70496,145.37,145.37,145.37,0.00,145.3700,145.3700,145.3700
Blue Shield of California,70496,3045.70,3045.70,3045.70,0.00,3045.7000,3045.7000,3045.7000
Cigna Corporation,70496,721.19,1081.79,314.67,767.12,314.6700,767.1200,1081.7900
Kaiser Foundation Health Plan,70496,2405.57,2552.00,2149.00,403.00,2218.0000,2552.0000,2552.0000
UnitedHealthcare,70496,824.14,1236.21,355.45,880.76,355.4500,880.7600,1236.2100
Aetna,70551,506.57,1255.83,140.00,1115.83,335.0000,409.2500,753.6850
Ambetter,70551,123.24,123.24,123.24,0.00,123.2400,123.2400,123.2400
Blue Shield of California,70551,3211.65,3211.65,3211.65,0.00,3211.6500,3211.6500,3211.6500
